directive,input_text,output_text
singularize,pins,pin
pluralize,pin,pins
singularize,hooks,hook
pluralize,hook,hooks
singularize,racks,rack
pluralize,rack,racks
singularize,beacons,beacon
pluralize,beacon,beacons
singularize,bricks,brick
pluralize,brick,bricks
singularize,clotheslines,clothesline
pluralize,clothesline,clotheslines
singularize,bathtubs,bathtub
pluralize,bathtub,bathtubs
singularize,towels,towel
pluralize,towel,towels
singularize,dishes,dish
pluralize,dish,dishes
singularize,pots,pot
pluralize,pot,pots
singularize,pans,pan
pluralize,pan,pans
singularize,coffees,coffee
pluralize,coffee,coffees
singularize,teas,tea
pluralize,tea,teas
singularize,plates,plate
pluralize,plate,plates
singularize,forks,fork
pluralize,fork,forks
singularize,knives,knife
pluralize,knife,knives
singularize,cupboards,cupboard
pluralize,cupboard,cupboards
singularize,freezers,freezer
pluralize,freezer,freezers
singularize,ovens,oven
pluralize,oven,ovens
singularize,stoves,stove
pluralize,stove,stoves
singularize,fridges,fridge
pluralize,fridge,fridges
singularize,dryers,dryer
pluralize,dryer,dryers
singularize,stomachaches,stomachache
pluralize,stomachache,stomachaches
singularize,headaches,headache
pluralize,headache,headaches
singularize,backaches,backache
pluralize,backache,backaches
singularize,toothaches,toothache
pluralize,toothache,toothaches
singularize,earaches,earache
pluralize,earache,earaches
singularize,teacups,teacup
pluralize,teacup,teacups
singularize,fishbowls,fishbowl
pluralize,fishbowl,fishbowls
singularize,cliffhangers,cliffhanger
pluralize,cliffhanger,cliffhangers
singularize,cupboards,cupboard
pluralize,cupboard,cupboards
singularize,lawnmowers,lawnmower
pluralize,lawnmower,lawnmowers
singularize,baseballs,baseball
pluralize,baseball,baseballs
singularize,paperclips,paperclip
pluralize,paperclip,paperclips
singularize,skateboards,skateboard
pluralize,skateboard,skateboards
singularize,cornfields,cornfield
pluralize,cornfield,cornfields
singularize,shoelaces,shoelace
pluralize,shoelace,shoelaces
singularize,sunshines,sunshine
pluralize,sunshine,sunshines
singularize,workbenches,workbench
pluralize,workbench,workbenches
singularize,doodlepads,doodlepad
pluralize,doodlepad,doodlepads
singularize,notepads,notepad
pluralize,notepad,notepads
singularize,pinecones,pinecone
pluralize,pinecone,pinecones
singularize,whalebones,whalebone
pluralize,whalebone,whalebones
singularize,starfish,starfish
pluralize,starfish,starfish
singularize,footpaths,footpath
pluralize,footpath,footpaths
singularize,glasses,glass
pluralize,glass,glasses
singularize,scissors,scissors
pluralize,scissors,scissors
singularize,paintbrushes,paintbrush
pluralize,paintbrush,paintbrushes
singularize,bedrooms,bedroom
pluralize,bedroom,bedrooms
singularize,raindrops,raindrop
pluralize,raindrop,raindrops
singularize,lives,life
pluralize,life,lives
singularize,windows,window
pluralize,window,windows
singularize,skateboards,skateboard
pluralize,skateboard,skateboards
singularize,tongues,tongue
pluralize,tongue,tongues
singularize,teaspoons,teaspoon
pluralize,teaspoon,teaspoons
singularize,cabins,cabin
pluralize,cabin,cabins
singularize,eyebrows,eyebrow
pluralize,eyebrow,eyebrows
singularize,footprints,footprint
pluralize,footprint,footprints
singularize,snowstorms,snowstorm
pluralize,snowstorm,snowstorms
singularize,shoeboxes,shoebox
pluralize,shoebox,shoeboxes
singularize,stepdads,stepdad
pluralize,stepdad,stepdads
singularize,hardcovers,hardcover
pluralize,hardcover,hardcovers
singularize,watermelons,watermelon
pluralize,watermelon,watermelons
singularize,dancefloors,dancefloor
pluralize,dancefloor,dancefloors
singularize,sunscreens,sunscreen
pluralize,sunscreen,sunscreens
singularize,paperbacks,paperback
pluralize,paperback,paperbacks
singularize,pillowcases,pillowcase
pluralize,pillowcase,pillowcases
singularize,raincoats,raincoat
pluralize,raincoat,raincoats
singularize,suitcases,suitcase
pluralize,suitcase,suitcases
singularize,cameras,camera
pluralize,camera,cameras
singularize,mailboxes,mailbox
pluralize,mailbox,mailboxes
singularize,headbands,headband
pluralize,headband,headbands
singularize,sunbeds,sunbed
pluralize,sunbed,sunbeds
singularize,sidewalks,sidewalk
pluralize,sidewalk,sidewalks
singularize,keyboard,keyboards
pluralize,keyboard,keyboard
singularize,streetlights,streetlight
pluralize,streetlight,streetlights
singularize,pedals,pedal
pluralize,pedal,pedals
singularize,roadblocks,roadblock
pluralize,roadblock,roadblocks
singularize,bookmarks,bookmark
pluralize,bookmark,bookmarks
singularize,fireflies,firefly
pluralize,firefly,fireflies
singularize,greenhouses,greenhouse
pluralize,greenhouse,greenhouses
singularize,lighthouses,lighthouse
pluralize,lighthouse,lighthouses
