directive,input_text,output_text
singularize,copies of jack black's unfinished novels about ants,copy of jack black's unfinished novel about ants  

pluralize,clone of adolf hitler that doesn’t seem as evil,clones of adolf hitler that don’t seem as evil  
singularize,clones of adolf hitler that don’t seem as evil,clone of adolf hitler that doesn’t seem as evil  

pluralize,laptop touchpad that somehow looks pretty good,laptop touchpads that somehow look pretty good  
singularize,laptop touchpads that somehow look pretty good,laptop touchpad that somehow looks pretty good  

pluralize,foam fetal Mr. T in a jar,foam fetal Mr. Ts in jars  
singularize,foam fetal Mr. Ts in jars,foam fetal Mr. T in a jar  

pluralize,pillow with bite marks on it,pillows with bite marks on them  
singularize,pillows with bite marks on them,pillow with bite marks on it  

pluralize,tissue covered in an unknown substance,tissues covered in unknown substances  
singularize,tissues covered in unknown substances,tissue covered in an unknown substance  

pluralize,goo-covered VHS of ‘Nacho Libre’,goo-covered VHS tapes of ‘Nacho Libre’  
singularize,goo-covered VHS tapes of ‘Nacho Libre’,goo-covered VHS of ‘Nacho Libre’  

pluralize,goonbot 9000,goonbots 9000  
singularize,goonbots 9000,goonbot 9000  

pluralize,bass with catgut strings,basses with catgut strings  
singularize,basses with catgut strings,bass with catgut strings  

pluralize,tv that is always set to “a fistful of dollars”,tvs that are always set to “a fistful of dollars”  
singularize,tvs that are always set to “a fistful of dollars”,tv that is always set to “a fistful of dollars”  

pluralize,fistful of jam,fistfuls of jam  
singularize,fistfuls of jam,fistful of jam  

pluralize,fishy looking guy,fishy looking guys  
singularize,fishy looking guys,fishy looking guy  

pluralize,trashcan that seems too small to fit anything into,trashcans that seem too small to fit anything into  
singularize,trashcans that seem too small to fit anything into,trashcan that seems too small to fit anything into  

pluralize,porta-closet with the seahawks logo on it,porta-closets with the seahawks logo on them  
singularize,porta-closets with the seahawks logo on them,porta-closet with the seahawks logo on it  

pluralize,cleveland browns jersey covered in semen,cleveland browns jerseys covered in semen  
singularize,cleveland browns jerseys covered in semen,cleveland browns jersey covered in semen  

pluralize,guy high on his own farts,guys high on their own farts  
singularize,guys high on their own farts,guy high on his own farts  

pluralize,piano playing itself,pianos playing themselves  
singularize,pianos playing themselves,piano playing itself  

pluralize,door to narnia,doors to narnia  
singularize,doors to narnia,door to narnia  

pluralize,imp that wants to play ‘settlers of catan’,imps that want to play ‘settlers of catan’  
singularize,imps that want to play ‘settlers of catan’,imp that wants to play ‘settlers of catan’  

pluralize,knapsack with booze money inside,knapsacks with booze money inside  
singularize,knapsacks with booze money inside,knapsack with booze money inside  

pluralize,blind man with no ambitions,blind men with no ambitions  
singularize,blind men with no ambitions,blind man with no ambitions  

pluralize,uncomfortable-looking sleeping bag,uncomfortable-looking sleeping bags  
singularize,uncomfortable-looking sleeping bags,uncomfortable-looking sleeping bag  

pluralize,laptop with 9000 tabs open,laptops with 9000 tabs open  
singularize,laptops with 9000 tabs open,laptop with 9000 tabs open  
