"directive","input_text","output_text"
"pluralize","car in the driveway","cars in the driveway"
"pluralize","bottle of water","bottles of water"
"pluralize","child of Mary","children of Mary"
"pluralize","letter in the mailbox","letters in the mailbox"
"pluralize","house on the street","houses on the street"
"pluralize","pen on the desk","pens on the desk"
"pluralize","shirt in the drawer","shirts in the drawer"
"pluralize","flower in the vase","flowers in the vase"
"pluralize","cake on the table","cakes on the table"
"pluralize","pencil in the case","pencils in the case"
"pluralize","dog on the bed","dogs on the bed"
"pluralize","ball on the ground","balls on the ground"
"pluralize","coin in the jar","coins in the jar"
"pluralize","map on the wall","maps on the wall"
"pluralize","glove in the drawer","gloves in the drawer"
"pluralize","tree in the park","trees in the park"
"pluralize","light in the room","lights in the room"
"pluralize","notebook on the desk","notebooks on the desk"
"pluralize","phone in the bag","phones in the bag"
"pluralize","book in the shelf","books in the shelf"
"pluralize","apple on the table","apples on the table"
"pluralize","plate with food","plates with food"
"pluralize","car in the parking lot","cars in the parking lot"
"pluralize","button on the shirt","buttons on the shirt"
"pluralize","flag on the pole","flags on the pole"
"pluralize","toy on the shelf","toys on the shelf"
"pluralize","mug on the counter","mugs on the counter"
"pluralize","window in the house","windows in the house"
"pluralize","phone on the counter","phones on the counter"
"pluralize","bucket of water","buckets of water"
"pluralize","key on the table","keys on the table"
"pluralize","door in the hallway","doors in the hallway"
"pluralize","shirt on the chair","shirts on the chair"
"pluralize","lamp on the desk","lamps on the desk"
"pluralize","candle on the table","candles on the table"
"pluralize","piece of cake","pieces of cake"
"pluralize","container of cookies","containers of cookies"
"pluralize","piece of bread","pieces of bread"
"pluralize","note in the pocket","notes in the pocket"
"pluralize","leaf in the wind","leaves in the wind"
"pluralize","glass of milk","glasses of milk"
"pluralize","sandwich with cheese","sandwiches with cheese"
"pluralize","ball in the basket","balls in the basket"
"pluralize","cup of soup","cups of soup"
"pluralize","painting on the wall","paintings on the wall"
"pluralize","coin in the purse","coins in the purse"
"pluralize","book with a cover","books with covers"
"pluralize","shoe on the foot","shoes on the feet"
"pluralize","shiny red apple","shiny red apples"
"pluralize","giant purple balloon","giant purple balloons"
"pluralize","small wooden box","small wooden boxes"
"pluralize","beautiful blue bird","beautiful blue birds"
"pluralize","spicy chicken wing","spicy chicken wings"
"pluralize","colorful striped sweater","colorful striped sweaters"
"pluralize","fluffy white cat","fluffy white cats"
"pluralize","old rusty car","old rusty cars"
"pluralize","smelly old shoe","smelly old shoes"
"pluralize","heavy metal door","heavy metal doors"
"pluralize","fast running dog","fast running dogs"
"pluralize","green leafy plant","green leafy plants"
"pluralize","blue plastic bottle","blue plastic bottles"
"pluralize","round orange ball","round orange balls"
"pluralize","warm cozy blanket","warm cozy blankets"
"pluralize","small wooden chair","small wooden chairs"
"pluralize","delicious chocolate cake","delicious chocolate cakes"
"pluralize","cold snowy mountain","cold snowy mountains"
"pluralize","bright yellow flower","bright yellow flowers"
"pluralize","long fluffy tail","long fluffy tails"
"pluralize","quick silver fish","quick silver fish"
"pluralize","delicate white lace","delicate white laces"
"pluralize","large wooden table","large wooden tables"
"pluralize","yellow spotted giraffe","yellow spotted giraffes"
"pluralize","bright shiny coin","bright shiny coins"
"pluralize","fuzzy green moss","fuzzy green mosses"
"pluralize","soft velvet pillow","soft velvet pillows"
"pluralize","purple velvet curtain","purple velvet curtains"
"pluralize","heavy brown box","heavy brown boxes"
"pluralize","big green apple","big green apples"
"pluralize","cold icy river","cold icy rivers"
"pluralize","small orange pumpkin","small orange pumpkins"
"pluralize","soft blue cloud","soft blue clouds"
"pluralize","fast red car","fast red cars"
"pluralize","dirty white shirt","dirty white shirts"
"pluralize","high metal fence","high metal fences"
"pluralize","tiny wooden stick","tiny wooden sticks"
"pluralize","smelly old sock","smelly old socks"
"pluralize","shiny silver spoon","shiny silver spoons"
"pluralize","tiny golden key","tiny golden keys"
"pluralize","warm woolen scarf","warm woolen scarves"
"pluralize","big black dog","big black dogs"
"pluralize","huge fluffy pillow","huge fluffy pillows"
"pluralize","small wooden table","small wooden tables"
"pluralize","bright red shirt","bright red shirts"
"pluralize","heavy metal spoon","heavy metal spoons"
"pluralize","soft blue sweater","soft blue sweaters"
"pluralize","spicy green chili","spicy green chilies"
"pluralize","tall wooden chair","tall wooden chairs"
"pluralize","thin golden thread","thin golden threads"
"pluralize","big pink cake","big pink cakes"
"pluralize","sharp pointed pencil","sharp pointed pencils"
"pluralize","small red flower","small red flowers"
"pluralize","clean white towel","clean white towels"
"pluralize","long wooden plank","long wooden planks"
"pluralize","rich dark chocolate","rich dark chocolates"
"pluralize","thick woolen scarf","thick woolen scarves"
"pluralize","cute little puppy","cute little puppies"
"pluralize","fresh green leaf","fresh green leaves"
"pluralize","bright orange sunset","bright orange sunsets"
"pluralize","old leather book","old leather books"
"pluralize","small glass jar","small glass jars"
"pluralize","sweet juicy orange","sweet juicy oranges"
"pluralize","heavy brown bag","heavy brown bags"
"pluralize","huge glass window","huge glass windows"
"pluralize","large gold coin","large gold coins"
"pluralize","fresh red berry","fresh red berries"
"pluralize","small shiny rock","small shiny rocks"
"pluralize","beautiful white butterfly","beautiful white butterflies"
"pluralize","soft pink pillow","soft pink pillows"
"pluralize","large fluffy cloud","large fluffy clouds"
"pluralize","quiet wooden room","quiet wooden rooms"
"pluralize","hot spicy curry","hot spicy curries"
"pluralize","big fluffy cloud","big fluffy clouds"
"pluralize","yellow striped shirt","yellow striped shirts"
"pluralize","child's woolen glove","children's woolen gloves"
"pluralize","oxen-drawn cart","oxen-drawn carts"
"pluralize","knife-sharpened stick","knife-sharpened sticks"
"pluralize","mouse-infested house","mice-infested houses"
"pluralize","single leaf page","single leaves pages"
"pluralize","small loaf of bread","small loaves of bread"
"pluralize","tooth-marked pencil","teeth-marked pencils"
"pluralize","friendly footstep","friendly footsteps"
"pluralize","wise old man","wise old men"
"pluralize","blue louse","blue lice"
"pluralize","lone goose","lone geese"
"pluralize","half-empty glass","half-empty glasses"
"pluralize","strong calf muscle","strong calf muscles"
"pluralize","ancient sheaf of papers","ancient sheaves of papers"
"pluralize","tiny cacti garden","tiny cacti gardens"
"pluralize","pot of gold at the end of the rainbow","pots of gold at the end of the rainbow"
"pluralize","pair of dice","pairs of dice"
"pluralize","fleet of aircraft","fleets of aircraft"
"pluralize","collection of memorabilia","collections of memorabilia"
"pluralize","lone hero","lone heroes"
"pluralize","bright red tomato","bright red tomatoes"
"pluralize","worn-out echo","worn-out echoes"
"pluralize","beautiful serenade","beautiful serenades"
"pluralize","ancient manuscript","ancient manuscripts"
"pluralize","gray wolf pack","gray wolf packs"
"pluralize","leafy green vegetable","leafy green vegetables"
"pluralize","delicate piano note","delicate piano notes"
"pluralize","strawberry thief","strawberry thieves"
"pluralize","crackling fire log","crackling fire logs"
"pluralize","wise old elf","wise old elves"
"pluralize","crumbling fortress wall","crumbling fortress walls"
"pluralize","shadowy alley cat","shadowy alley cats"
"pluralize","magical fairy tale","magical fairy tales"
"pluralize","frost-covered windowpane","frost-covered windowpanes"
"pluralize","antique gold watch","antique gold watches"
"pluralize","tiny speck of dust","tiny specks of dust"
"pluralize","delicious sushi roll","delicious sushi rolls"
"pluralize","flickering candle flame","flickering candle flames"
"pluralize","slice of cherry pie","slices of cherry pie"
"pluralize","pack of wild wolves","packs of wild wolves"
"pluralize","glass of iced tea","glasses of iced tea"
"pluralize","cup of hot cocoa","cups of hot cocoa"
"pluralize","box of old letters","boxes of old letters"
"pluralize","piece of antique furniture","pieces of antique furniture"
"pluralize","roll of parchment paper","rolls of parchment paper"
"pluralize","bowl of fresh fruit","bowls of fresh fruit"
"pluralize","bottle of vintage wine","bottles of vintage wine"
"pluralize","bundle of dried herbs","bundles of dried herbs"
"pluralize","pair of wool socks","pairs of wool socks"
"pluralize","tray of assorted pastries","trays of assorted pastries"
"pluralize","spoonful of sugar","spoonfuls of sugar"
"pluralize","crate of ripe mangoes","crates of ripe mangoes"
"pluralize","pile of rusty tools","piles of rusty tools"
"pluralize","stack of dusty books","stacks of dusty books"
"pluralize","basket of laundry","baskets of laundry"
"pluralize","string of holiday lights","strings of holiday lights"
"pluralize","plate of spaghetti with meatballs","plates of spaghetti with meatballs"
"pluralize","burger with cheese","burgers with cheese"
"pluralize","tank top","tank tops"
"pluralize","baker's dozen","bakers' dozens"
"pluralize","raincoat","raincoats"
"pluralize","toothbrush","toothbrushes"
"pluralize","sunflower","sunflowers"
"pluralize","bookcase","bookcases"
"pluralize","notebook","notebooks"
"pluralize","cupcake","cupcakes"
"pluralize","football game","football games"
"pluralize","backpack","backpacks"
"pluralize","firefighter","firefighters"
"pluralize","birthday card","birthday cards"
"pluralize","police officer","police officers"
"pluralize","handshake","handshakes"
"pluralize","laptop","laptops"
"pluralize","waterfall","waterfalls"
"pluralize","basketball court","basketball courts"
"pluralize","flashlight","flashlights"
"pluralize","ice cream cone","ice cream cones"
"pluralize","mountaintop","mountaintops"
"pluralize","paperclip","paperclips"
"pluralize","masterpiece","masterpieces"
"pluralize","rainbow","rainbows"
"pluralize","walking stick","walking sticks"
"pluralize","homework assignment","homework assignments"
"pluralize","teardrop","teardrops"
"pluralize","doorknob","doorknobs"
"pluralize","sunbeam","sunbeams"
"pluralize","playground","playgrounds"
"pluralize","nightstand","nightstands"
"pluralize","earring","earrings"
"pluralize","passport","passports"
"pluralize","newspaper article","newspaper articles"
"pluralize","workbench","workbenches"
"pluralize","car door","car doors"
"pluralize","mailbox","mailboxes"
"pluralize","shoelace","shoelaces"
"pluralize","lightbulb","lightbulbs"
"pluralize","flowerpot","flowerpots"
"pluralize","friendship bracelet","friendship bracelets"
"pluralize","snowflake","snowflakes"
"pluralize","firewood log","firewood logs"
"pluralize","beehive","beehives"
"pluralize","cherry blossom","cherry blossoms"
"pluralize","silk scarf","silk scarves"
"pluralize","castle tower","castle towers"
"pluralize","glacier","glaciers"
"pluralize","mountain range","mountain ranges"
"pluralize","pebble beach","pebble beaches"
"pluralize","volcano","volcanoes"
"pluralize","fruit salad","fruit salads"
"pluralize","butterfly wing","butterfly wings"
"pluralize","raindrop","raindrops"
"pluralize","skateboard ramp","skateboard ramps"
"pluralize","treetop","treetops"
"pluralize","shoebox","shoeboxes"
"pluralize","watchtower","watchtowers"
"pluralize","waterfall mist","waterfall mists"
"pluralize","ladder rung","ladder rungs"
"pluralize","traffic cone","traffic cones"
"pluralize","flower bouquet","flower bouquets"
"pluralize","cobblestone path","cobblestone paths"
"pluralize","hedge maze","hedge mazes"
"pluralize","sunset glow","sunset glows"
"pluralize","moonbeam","moonbeams"
"pluralize","ocean wave","ocean waves"
"pluralize","beach umbrella","beach umbrellas"
"pluralize","campfire story","campfire stories"
"pluralize","feather quill","feather quills"
"pluralize","forest trail","forest trails"
"pluralize","windowpane","windowpanes"
"pluralize","jigsaw puzzle","jigsaw puzzles"
"pluralize","vintage postcard","vintage postcards"
"pluralize","harbor dock","harbor docks"
"pluralize","stone archway","stone archways"
"pluralize","candle holder","candle holders"
"pluralize","riverbank","riverbanks"
"pluralize","sunflower seed","sunflower seeds"
"pluralize","windmill blade","windmill blades"
"pluralize","piano key","piano keys"
"pluralize","photo album","photo albums"
"pluralize","art gallery","art galleries"
"pluralize","streetlight","streetlights"
"pluralize","mountain peak","mountain peaks"
"pluralize","iceberg","icebergs"
"pluralize","desert cactus","desert cacti"
"pluralize","storm cloud","storm clouds"
"pluralize","midnight snack","midnight snacks"
"pluralize","forest clearing","forest clearings"
"pluralize","pinecone","pinecones"
"pluralize","treasure chest","treasure chests"
"pluralize","stone gargoyle","stone gargoyles"
"pluralize","oak tree","oak trees"
"pluralize","autumn leaf","autumn leaves"
"pluralize","brick wall","brick walls"
"pluralize","rope bridge","rope bridges"
"pluralize","golden crown","golden crowns"
"pluralize","silk ribbon","silk ribbons"
"pluralize","frozen pond","frozen ponds"
"pluralize","scenic overlook","scenic overlooks"
"pluralize","wooden fence","wooden fences"
"pluralize","garden hose","garden hoses"
"pluralize","jellybean jar","jellybean jars"
"pluralize","toy soldier","toy soldiers"
"pluralize","library book","library books"
"pluralize","vintage clock","vintage clocks"
"pluralize","coffee mug","coffee mugs"
"pluralize","porcelain doll","porcelain dolls"
"pluralize","rollercoaster ride","rollercoaster rides"
"pluralize","paper lantern","paper lanterns"
"pluralize","city skyline","city skylines"
"pluralize","crystal chandelier","crystal chandeliers"
"pluralize","seashell","seashells"
"pluralize","candle flame","candle flames"
"pluralize","forest canopy","forest canopies"
"pluralize","stone pathway","stone pathways"
"pluralize","bird's nest","bird's nests"
"pluralize","mountain cabin","mountain cabins"
"pluralize","leafy vine","leafy vines"
"pluralize","cloud formation","cloud formations"
"pluralize","desert dune","desert dunes"
"pluralize","flower petal","flower petals"
"pluralize","street musician","street musicians"
"pluralize","rainforest","rainforests"
"pluralize","lakefront","lakefronts"
"pluralize","crystal clear lake","crystal clear lakes"
"pluralize","sandcastle","sandcastles"
"pluralize","twinkling star","twinkling stars"
"pluralize","ancient ruin","ancient ruins"
"pluralize","garden gnome","garden gnomes"
"pluralize","stormy sea","stormy seas"
"pluralize","cave entrance","cave entrances"
"pluralize","chocolate bar","chocolate bars"
"pluralize","fishing boat","fishing boats"
"pluralize","picnic basket","picnic baskets"
"pluralize","wildflower meadow","wildflower meadows"
"pluralize","eagle's nest","eagle's nests"
"pluralize","mountain stream","mountain streams"
"pluralize","sunflower field","sunflower fields"
"pluralize","hot air balloon","hot air balloons"
"pluralize","rocking chair","rocking chairs"
"pluralize","apple orchard","apple orchards"
"pluralize","lighthouse beacon","lighthouse beacons"
"pluralize","harbor sailboat","harbor sailboats"
"pluralize","vintage bicycle","vintage bicycles"
"pluralize","rusty anchor","rusty anchors"
"pluralize","forest waterfall","forest waterfalls"
"pluralize","city plaza","city plazas"
"pluralize","wooden rocking horse","wooden rocking horses"
"pluralize","parrot's feather","parrot's feathers"
"pluralize","beachcomber","beachcombers"
"pluralize","sunset silhouette","sunset silhouettes"
"pluralize","wind chime","wind chimes"
"pluralize","garden bench","garden benches"
"pluralize","harvest moon","harvest moons"
"pluralize","stone fireplace","stone fireplaces"
"pluralize","fisherman's net","fishermen's nets"
"pluralize","harbor lighthouse","harbor lighthouses"
"pluralize","cobblestone street","cobblestone streets"
"pluralize","seagull's cry","seagulls' cries"
"pluralize","forest path","forest paths"
"pluralize","rustic cabin","rustic cabins"
"pluralize","vineyard grape","vineyard grapes"
"pluralize","misty valley","misty valleys"
"pluralize","stone pillar","stone pillars"
"pluralize","lantern light","lantern lights"
"pluralize","cozy fireplace","cozy fireplaces"
"pluralize","mountain ridge","mountain ridges"
"pluralize","garden path","garden paths"
"pluralize","driftwood","driftwood"
"pluralize","sea breeze","sea breezes"
"pluralize","orchard tree","orchard trees"
"pluralize","wildflower bloom","wildflower blooms"
"pluralize","butterfly garden","butterfly gardens"
"pluralize","stormy sky","stormy skies"
"pluralize","vintage record player","vintage record players"
"pluralize","forest glade","forest glades"
"pluralize","stone castle","stone castles"
"pluralize","antique vase","antique vases"
"pluralize","treehouse","treehouses"
"pluralize","hidden treasure","hidden treasures"
"pluralize","cottage window","cottage windows"
"pluralize","seaside cottage","seaside cottages"
"pluralize","rusty gate","rusty gates"
"pluralize","lone wolf","lone wolves"
"pluralize","crystal cave","crystal caves"
"pluralize","garden pond","garden ponds"
"pluralize","mountain trail","mountain trails"
"pluralize","storm shelter","storm shelters"
"pluralize","cherry tree","cherry trees"
"pluralize","desert oasis","desert oases"
"pluralize","village market","village markets"
"pluralize","cobblestone bridge","cobblestone bridges"
"pluralize","vine-covered wall","vine-covered walls"
"pluralize","harbor view","harbor views"
"pluralize","forest cabin","forest cabins"
"pluralize","flower garden","flower gardens"
"pluralize","wooden door","wooden doors"
"pluralize","sunrise glow","sunrise glows"
"pluralize","moss-covered stone","moss-covered stones"
"pluralize","water fountain","water fountains"
"pluralize","beach hut","beach huts"
"pluralize","stone bench","stone benches"
"pluralize","lake view","lake views"
"pluralize","birdsong","birdsongs"
"pluralize","forest stream","forest streams"
"pluralize","mountain lake","mountain lakes"
"pluralize","desert wind","desert winds"
"pluralize","harbor crane","harbor cranes"
"pluralize","fishing pier","fishing piers"
"pluralize","sunrise view","sunrise views"
"pluralize","garden statue","garden statues"
"pluralize","riverbend","riverbends"
"pluralize","mountain lodge","mountain lodges"
"pluralize","crystal ball","crystal balls"
"pluralize","storm cloud","storm clouds"
"pluralize","beach wave","beach waves"
"pluralize","forest grove","forest groves"
"pluralize","mountain pass","mountain passes"
"pluralize","vine-covered trellis","vine-covered trellises"
"pluralize","pebble","pebbles"
"pluralize","clay pot","clay pots"
"pluralize","glass marble","glass marbles"
"pluralize","steel wrench","steel wrenches"
"pluralize","ceramic mug","ceramic mugs"
"pluralize","wooden spoon","wooden spoons"
"pluralize","plastic bottle","plastic bottles"
"pluralize","iron nail","iron nails"
"pluralize","golden ring","golden rings"
"pluralize","paperclip","paperclips"
"pluralize","silver coin","silver coins"
"pluralize","brass key","brass keys"
"pluralize","rubber band","rubber bands"
"pluralize","stone arrowhead","stone arrowheads"
"pluralize","leather wallet","leather wallets"
"pluralize","metal bolt","metal bolts"
"pluralize","cotton handkerchief","cotton handkerchiefs"
"pluralize","bronze statue","bronze statues"
"pluralize","linen napkin","linen napkins"
"pluralize","steel hammer","steel hammers"
"pluralize","porcelain plate","porcelain plates"
"pluralize","copper wire","copper wires"
"pluralize","wool scarf","wool scarves"
"pluralize","bamboo chopstick","bamboo chopsticks"
"pluralize","crystal vase","crystal vases"
"pluralize","ceramic tile","ceramic tiles"
"pluralize","aluminum can","aluminum cans"
"pluralize","plastic straw","plastic straws"
"pluralize","wooden box","wooden boxes"
"pluralize","glass bottle","glass bottles"
"pluralize","steel chain","steel chains"
"pluralize","stone brick","stone bricks"
"pluralize","iron hook","iron hooks"
"pluralize","cork coaster","cork coasters"
"pluralize","clay figurine","clay figurines"
"pluralize","copper kettle","copper kettles"
"pluralize","linen sheet","linen sheets"
"pluralize","bronze medal","bronze medals"
"pluralize","rubber glove","rubber gloves"
"pluralize","ceramic bowl","ceramic bowls"
"pluralize","metallic pin","metallic pins"
"pluralize","wooden crate","wooden crates"
"pluralize","glass jar","glass jars"
"pluralize","stone slab","stone slabs"
"pluralize","iron rod","iron rods"
"pluralize","cotton towel","cotton towels"
"pluralize","plastic lid","plastic lids"
"pluralize","steel blade","steel blades"
"pluralize","brass knob","brass knobs"
"pluralize","porcelain cup","porcelain cups"
"pluralize","leather strap","leather straps"
"pluralize","bronze coin","bronze coins"
"pluralize","ceramic jug","ceramic jugs"
"pluralize","wool blanket","wool blankets"
"pluralize","bamboo basket","bamboo baskets"
"pluralize","crystal ornament","crystal ornaments"
"pluralize","aluminum foil","aluminum foils"
"pluralize","plastic container","plastic containers"
"pluralize","stone statue","stone statues"
"pluralize","iron gate","iron gates"
"pluralize","wooden plank","wooden planks"
"pluralize","glass shard","glass shards"
"pluralize","cork stopper","cork stoppers"
"pluralize","clay bowl","clay bowls"
"pluralize","linen curtain","linen curtains"
"pluralize","rubber hose","rubber hoses"
"pluralize","steel screw","steel screws"
"pluralize","bronze trophy","bronze trophies"
"pluralize","porcelain figurine","porcelain figurines"
"pluralize","metal latch","metal latches"
"pluralize","wooden bench","wooden benches"
"pluralize","plastic bucket","plastic buckets"
"pluralize","stone mortar","stone mortars"
"pluralize","iron skillet","iron skillets"
"pluralize","ceramic pitcher","ceramic pitchers"
"pluralize","glass tile","glass tiles"
"pluralize","woolen hat","woolen hats"
"pluralize","leather belt","leather belts"
"pluralize","copper pot","copper pots"
"pluralize","bamboo mat","bamboo mats"
"pluralize","linen pillowcase","linen pillowcases"
"pluralize","crystal goblet","crystal goblets"
"pluralize","steel rod","steel rods"
"pluralize","rubber tire","rubber tires"
"pluralize","bronze bell","bronze bells"
"pluralize","ceramic vase","ceramic vases"
"pluralize","plastic tray","plastic trays"
"pluralize","wooden ladder","wooden ladders"
"pluralize","iron chain","iron chains"
"pluralize","stone pendant","stone pendants"
"pluralize","glass lens","glass lenses"
"pluralize","cork board","cork boards"
"pluralize","metallic ring","metallic rings"
"pluralize","porcelain sink","porcelain sinks"
"pluralize","leather glove","leather gloves"
"pluralize","woolen sock","woolen socks"
"pluralize","bamboo flute","bamboo flutes"
"pluralize","copper pipe","copper pipes"
"pluralize","linen tablecloth","linen tablecloths"
"pluralize","bronze shield","bronze shields"
"pluralize","ceramic tile","ceramic tiles"
"pluralize","rubber duck","rubber ducks"
"pluralize","wooden toy","wooden toys"
"pluralize","glass bead","glass beads"
"pluralize","steel spring","steel springs"
"pluralize","stone axe","stone axes"
"pluralize","iron anvil","iron anvils"
"pluralize","plastic comb","plastic combs"
"pluralize","cork bottle","cork bottles"
"pluralize","clay vase","clay vases"
"pluralize","porcelain lamp","porcelain lamps"
"pluralize","leather journal","leather journals"
"pluralize","bronze helmet","bronze helmets"
"pluralize","crystal necklace","crystal necklaces"
"pluralize","aluminum sheet","aluminum sheets"
"pluralize","bamboo fence","bamboo fences"
"pluralize","woolen sweater","woolen sweaters"
"pluralize","copper bowl","copper bowls"
"pluralize","linen scarf","linen scarves"
"pluralize","ceramic mug","ceramic mugs"
"pluralize","piece of eight","pieces of eight"
"pluralize","handful of sand","handfuls of sand"
"pluralize","grain of rice","grains of rice"
"pluralize","loaf of bread","loaves of bread"
"pluralize","deck of cards","decks of cards"
"pluralize","drop of water","drops of water"
"pluralize","slice of pie","slices of pie"
"pluralize","pair of scissors","pairs of scissors"
"pluralize","spoonful of sugar","spoonfuls of sugar"
"pluralize","flock of sheep","flocks of sheep"
"pluralize","school of fish","schools of fish"
"pluralize","herd of cattle","herds of cattle"
"pluralize","pack of wolves","packs of wolves"
"pluralize","bundle of sticks","bundles of sticks"
"pluralize","set of keys","sets of keys"
"pluralize","cup of tea","cups of tea"
"pluralize","piece of cake","pieces of cake"
"pluralize","slice of life","slices of life"
"pluralize","bunch of grapes","bunches of grapes"
"pluralize","pair of gloves","pairs of gloves"
"pluralize","head of lettuce","heads of lettuce"
"pluralize","pint of milk","pints of milk"
"pluralize","bar of soap","bars of soap"
"pluralize","drop of blood","drops of blood"
"pluralize","batch of cookies","batches of cookies"
"pluralize","stack of papers","stacks of papers"
"pluralize","pile of leaves","piles of leaves"
"pluralize","string of pearls","strings of pearls"
"pluralize","jar of honey","jars of honey"
"pluralize","piece of string","pieces of string"
"pluralize","quart of oil","quarts of oil"
"pluralize","tube of toothpaste","tubes of toothpaste"
"pluralize","slice of cheese","slices of cheese"
"pluralize","bag of flour","bags of flour"
"pluralize","dozen eggs","dozens of eggs"
"pluralize","pair of shoes","pairs of shoes"
"pluralize","bottle of wine","bottles of wine"
"pluralize","drop of ink","drops of ink"
"pluralize","handful of coins","handfuls of coins"
"pluralize","bunch of flowers","bunches of flowers"
"pluralize","gallon of water","gallons of water"
"pluralize","carton of eggs","cartons of eggs"
"pluralize","box of chocolates","boxes of chocolates"
"pluralize","bundle of joy","bundles of joy"
"pluralize","roll of tape","rolls of tape"
"pluralize","pinch of salt","pinches of salt"
"pluralize","slice of ham","slices of ham"
"pluralize","cup of coffee","cups of coffee"
"pluralize","sheet of paper","sheets of paper"
"pluralize","blade of grass","blades of grass"
"pluralize","block of ice","blocks of ice"
"pluralize","piece of advice","pieces of advice"
"pluralize","round of applause","rounds of applause"
"pluralize","pearl of wisdom","pearls of wisdom"
"pluralize","crumb of bread","crumbs of bread"
"pluralize","chunk of wood","chunks of wood"
"pluralize","patch of grass","patches of grass"
"pluralize","flicker of light","flickers of light"
"pluralize","ray of sunshine","rays of sunshine"
"pluralize","whiff of smoke","whiffs of smoke"
"pluralize","drop of dew","drops of dew"
"pluralize","dash of pepper","dashes of pepper"
"pluralize","slice of toast","slices of toast"
"pluralize","pack of cards","packs of cards"
"pluralize","bundle of nerves","bundles of nerves"
"pluralize","pinch of herbs","pinches of herbs"
"pluralize","piece of fabric","pieces of fabric"
"pluralize","spoonful of soup","spoonfuls of soup"
"pluralize","drop of rain","drops of rain"
"pluralize","bag of chips","bags of chips"
"pluralize","string of lights","strings of lights"
"pluralize","bar of chocolate","bars of chocolate"
"pluralize","roll of film","rolls of film"
"pluralize","handful of feathers","handfuls of feathers"
"pluralize","batch of muffins","batches of muffins"
"pluralize","slice of lemon","slices of lemon"
"pluralize","cup of soup","cups of soup"
"pluralize","dozen roses","dozens of roses"
"pluralize","bunch of bananas","bunches of bananas"
"pluralize","stack of books","stacks of books"
"pluralize","quart of milk","quarts of milk"
"pluralize","pair of pants","pairs of pants"
"pluralize","piece of luggage","pieces of luggage"
"pluralize","bar of gold","bars of gold"
"pluralize","pint of beer","pints of beer"
"pluralize","bottle of water","bottles of water"
"pluralize","roll of fabric","rolls of fabric"
"pluralize","dash of vanilla","dashes of vanilla"
"pluralize","blade of a knife","blades of a knife"
"pluralize","pile of stones","piles of stones"
"pluralize","string of beads","strings of beads"
"pluralize","batch of doughnuts","batches of doughnuts"
"pluralize","block of cheese","blocks of cheese"
"pluralize","slice of turkey","slices of turkey"
"pluralize","jar of jam","jars of jam"
"pluralize","piece of news","pieces of news"
"pluralize","stack of firewood","stacks of firewood"
"pluralize","bunch of keys","bunches of keys"
"pluralize","handful of nuts","handfuls of nuts"
"pluralize","gallon of paint","gallons of paint"
"pluralize","carton of milk","cartons of milk"
"pluralize","box of crayons","boxes of crayons"
